Measurement,Sample,J0,n,Rs,V0,Ni
AX13557_NW2_dark.xlsx,13557,2.441e-13,1.965,2.973e+04,0.3715,2.096e+17
AX13557_NW4_dark.xlsx,13557,2.263e-13,1.921,2.862e+04,0.3759,2.203e+17
AX13557_NW5_dark.xlsx,13557,2.23e-13,1.907,3.193e+04,0.3784,1.911e+17
AX13557_NW1_dark.xlsx,13557,4.383e-13,1.979,3.996e+04,0.39,1.446e+17
AX13557_NW3_dark.xlsx,13557,3.657e-13,1.954,3.667e+04,0.3902,1.606e+17
AX13558_NW4_dark.xlsx,13558,3.565e-13,2.116,4.194e+04,0.3517,1.364e+17
AX13558_NW3_dark.xlsx,13558,1.745e-13,2.091,5.965e+04,0.336,9.053e+16
AX13558_NW1_dark.xlsx,13558,1.039e-13,2.047,5.769e+04,0.3195,9.403e+16
AX13558_NW5_dark.xlsx,13558,3.178e-13,2.085,5.447e+04,0.3639,1.004e+17
AX13558_NW2_dark.xlsx,13558,2.549e-13,2.098,4.874e+04,0.3424,1.142e+17
AX13559_NW5_dark.xlsx,13559,1.409e-13,2.009,1.598e+04,0.3512,5.295e+17
AX13559_NW2_dark.xlsx,13559,6.7e-14,1.974,1.837e+04,0.3112,4.185e+17
AX13559_NW1_dark.xlsx,13559,1.672e-17,2.073,1.47e+04,-0.1527,6.172e+17
AX13559_NW3_dark.xlsx,13559,9.86e-14,2.057,1.588e+04,0.3197,5.355e+17
AX13559_NW4_dark.xlsx,13559,5.885e-18,2.123,2.09e+04,-0.2609,3.424e+17
